Date,Open,High,Low,Close,Volume,Change
2019-01-29,10155,10165,10075,10110,291,
2019-01-30,10095,10100,10060,10070,66,-0.003956478733926794
2019-01-31,10065,10130,10045,10130,73,0.005958291956305928
2019-02-01,10240,10240,10230,10230,15,0.009871668311944637
2019-02-07,10265,10325,10265,10295,598,0.006353861192570864
2019-02-08,10330,10360,10200,10355,39745,0.005828071879553143
2019-02-11,10705,10705,10270,10270,30814,-0.008208594881699671
2019-02-12,10315,10330,10150,10220,30029,-0.004868549172346692
2019-02-13,10260,10275,10190,10190,30355,-0.0029354207436399493
2019-02-14,10200,10200,10160,10175,30157,-0.0014720314033366266
2019-02-15,10230,10330,10220,10315,30117,0.01375921375921374
2019-02-18,9990,10820,9990,10300,30336,-0.0014541929229278105
2019-02-19,10310,10310,10295,10295,30074,-0.0004854368932039055
2019-02-20,10330,10385,10330,10360,30054,0.006313744536182719
2019-02-21,10400,10400,10360,10390,30083,0.0028957528957529455
2019-02-22,10410,10410,10370,10405,30115,0.0014436958614052475
2019-02-25,10325,10405,10320,10320,45,-0.008169149447381119
2019-02-26,10375,10410,10375,10400,66,0.007751937984496138
2019-02-27,10315,10350,10315,10325,436,-0.007211538461538436
2019-02-28,10310,10445,10310,10400,575,0.007263922518159882
2019-03-04,10385,10470,10385,10460,194,0.005769230769230749
2019-03-05,10460,10535,10460,10485,81,0.002390057361376652
2019-03-06,10470,10500,10465,10480,1499,-0.0004768717215068996
2019-03-07,10505,10540,10505,10540,62,0.005725190839694694
2019-03-08,10435,10535,10435,10535,9619,-0.0004743833017077925
2019-03-11,10520,10525,10450,10475,15452,-0.005695301376364537
2019-03-12,10510,10520,10440,10440,6716,-0.003341288782816254
2019-03-13,10445,10545,10445,10515,1562,0.007183908045977017
2019-03-14,10545,10605,10500,10595,5397,0.007608178792201548
2019-03-15,10585,10640,10585,10585,960,-0.0009438414346389923
2019-03-18,10470,10585,10470,10560,1932,-0.002361832782239004
2019-03-19,10615,10615,10565,10590,10410,0.0028409090909091717
2019-03-20,10590,10590,10500,10500,1342,-0.008498583569405138
2019-03-21,10505,10620,10505,10620,6890,0.011428571428571344
2019-03-22,10660,10695,10655,10695,23329,0.007062146892655274
2019-03-25,10730,10730,10655,10670,15957,-0.002337540906965918
2019-03-26,10670,10795,10670,10795,2842,0.011715089034676662
2019-03-27,10810,10815,10770,10800,22758,0.0004631773969430153
2019-03-28,10855,10855,10760,10795,8605,-0.0004629629629629983
2019-03-29,10815,10815,10725,10795,9443,0.0
2019-04-01,10795,10810,10645,10810,52625,0.0013895321908290459
2019-04-02,10845,10975,10835,10900,81657,0.008325624421831712
2019-04-03,10910,10910,10800,10840,69060,-0.0055045871559632475
2019-04-04,10835,10955,10830,10875,110264,0.0032287822878229733
2019-04-05,10910,10935,10800,10800,65334,-0.006896551724137945
2019-04-08,10630,10875,10630,10850,62902,0.004629629629629539
