Date,Open,High,Low,Close,Volume,Change
2019-11-22,11800,15000,11000,13450,23026807,
2019-11-25,14350,17450,14050,17450,16059778,0.2973977695167287
2019-11-26,18300,22550,17300,20550,15272032,0.17765042979942702
2019-11-27,20050,23850,19100,20800,18612982,0.012165450121654597
2019-11-28,21050,21150,18350,18650,3122937,-0.10336538461538458
2019-11-29,18400,20200,17000,17150,3694584,-0.08042895442359255
2019-12-02,16900,17550,15500,15900,2460193,-0.07288629737609331
2019-12-03,15750,17550,15050,15450,4632034,-0.028301886792452824
2019-12-04,15600,16300,15200,16150,1916542,0.0453074433656957
2019-12-05,16050,16300,14400,14450,1397781,-0.10526315789473684
2019-12-06,14850,14900,13800,14050,1121854,-0.02768166089965396
2019-12-09,14100,14200,12950,13300,1141937,-0.053380782918149516
2019-12-10,13600,16650,13550,15100,10999799,0.13533834586466176
2019-12-11,15300,16700,14650,15250,4561747,0.009933774834437026
2019-12-12,15400,16050,15050,15500,1426654,0.016393442622950838
2019-12-13,15950,16400,15400,16150,2144152,0.041935483870967794
2019-12-16,16850,18850,16800,17300,7307664,0.07120743034055721
2019-12-17,17650,17650,16350,16550,1649104,-0.043352601156069315
2019-12-18,17000,17600,16750,17450,2380463,0.05438066465256797
2019-12-19,17350,17450,16900,16900,721202,-0.03151862464183386
2019-12-20,16550,16700,15400,15650,1335230,-0.07396449704142016
2019-12-23,15350,15950,15200,15400,906364,-0.015974440894568676
2019-12-24,15600,16600,15400,15450,1988404,0.0032467532467532756
2019-12-26,15500,16350,15350,16350,1487572,0.058252427184465994
2019-12-27,16650,17350,16450,16800,1800748,0.02752293577981657
2019-12-30,17000,18000,16850,17650,2393882,0.05059523809523814
2020-01-02,18100,18200,17450,17850,1371275,0.011331444759206777
2020-01-03,17950,18000,17000,17350,1326050,-0.02801120448179273
2020-01-06,17000,17200,16200,16500,1011501,-0.04899135446685876
2020-01-07,16750,17100,16200,16700,1308783,0.0121212121212122
2020-01-08,16450,16550,15200,15200,1477754,-0.08982035928143717
2020-01-09,15950,16300,15800,16100,747148,0.05921052631578938
2020-01-10,16450,18050,15950,17700,4770494,0.0993788819875776
2020-01-13,17550,17700,16900,17200,1540218,-0.02824858757062143
2020-01-14,17450,17450,16300,16450,1192261,-0.043604651162790664
2020-01-15,16500,17750,16150,17750,1271351,0.07902735562310026
2020-01-16,17100,17650,16800,17000,1240336,-0.04225352112676062
2020-01-17,17100,18150,16550,17500,3961474,0.02941176470588225
2020-01-20,17450,18700,17350,17650,4125345,0.008571428571428674
2020-01-21,17800,17900,16650,16700,1440534,-0.053824362606232246
2020-01-22,16500,17100,16200,16250,829191,-0.026946107784431184
2020-01-23,16200,16550,15600,16250,806946,0.0
2020-01-28,15550,15850,15050,15150,767308,-0.06769230769230772
2020-01-29,15450,15750,15100,15150,424934,0.0
2020-01-30,15100,15200,13650,13900,991781,-0.08250825082508251
2020-01-31,13950,14050,12650,12800,842205,-0.07913669064748197
2020-02-03,12100,13000,11450,12750,897952,-0.00390625
2020-02-04,12950,14450,12900,14200,1452846,0.11372549019607847
2020-02-05,14250,14450,13650,13700,402876,-0.035211267605633756
2020-02-06,14000,14150,13600,13750,379854,0.0036496350364962904
2020-02-07,13750,14300,13700,13850,409635,0.0072727272727273196
2020-02-10,13950,14500,13600,14250,498453,0.028880866425992746
2020-02-11,14450,14550,14000,14000,337781,-0.01754385964912286
2020-02-12,14000,14100,13600,13800,240204,-0.014285714285714235
2020-02-13,13900,14050,13350,13400,314852,-0.02898550724637683
2020-02-14,13500,13650,13050,13050,371556,-0.026119402985074647
2020-02-17,13100,13200,12550,12650,319779,-0.03065134099616862
2020-02-18,12650,12800,12250,12350,265951,-0.02371541501976282
2020-02-19,12350,12700,12150,12550,281895,0.0161943319838056
2020-02-20,12750,13700,12600,13400,805865,0.06772908366533859
2020-02-21,13500,13700,12800,12850,423448,-0.04104477611940294
2020-02-24,12200,12650,11650,11950,408393,-0.07003891050583655
2020-02-25,11750,12350,11650,12250,348716,0.025104602510460206
2020-02-26,11850,12800,11800,12600,398941,0.02857142857142847
2020-02-27,12700,13400,12600,13050,590015,0.03571428571428581
2020-02-28,12700,13100,12100,12450,352093,-0.04597701149425293
2020-03-02,12450,12900,12200,12650,283299,0.016064257028112428
2020-03-03,12900,13150,12450,12500,384066,-0.011857707509881465
2020-03-04,12400,13300,12400,13200,584806,0.05600000000000005
2020-03-05,13350,14200,13200,13950,1203940,0.05681818181818188
2020-03-06,13700,14100,13250,13600,485484,-0.02508960573476704
2020-03-09,13350,13600,12600,12950,485362,-0.047794117647058876
2020-03-10,12600,12900,12300,12850,487492,-0.007722007722007707
2020-03-11,12850,13300,11600,11850,623179,-0.0778210116731517
2020-03-12,11550,11950,10600,10950,458769,-0.07594936708860756
2020-03-13,9660,9850,8200,9450,768694,-0.136986301369863
2020-03-16,9500,9750,8400,8400,500046,-0.11111111111111116
2020-03-17,7620,8550,7610,8200,439003,-0.023809523809523836
2020-03-18,8240,8700,7780,7780,448935,-0.051219512195122
2020-03-19,8020,8090,5960,6030,523705,-0.22493573264781486
2020-03-20,6110,6460,6030,6400,335670,0.06135986733001664
2020-03-23,5810,6620,5800,6140,337429,-0.04062500000000002
2020-03-24,6410,7360,6400,7070,780521,0.15146579804560267
2020-03-25,7400,7880,7120,7470,504703,0.05657708628005653
2020-03-26,7550,9380,7400,8190,1144700,0.09638554216867479
2020-03-27,8750,9420,8310,9040,1423404,0.10378510378510386
2020-03-30,8900,9750,8710,9440,802777,0.04424778761061954
2020-03-31,10000,11950,9800,10600,2035231,0.12288135593220328
2020-04-01,10650,11650,9900,9980,1446754,-0.058490566037735836
2020-04-02,10000,10400,9280,10000,742457,0.002004008016031955
2020-04-03,10150,10200,9810,10000,420885,0.0
2020-04-06,10200,10300,10000,10250,382980,0.02499999999999991
2020-04-07,10450,11350,9990,10700,1354940,0.04390243902439028
2020-04-08,11300,11850,11000,11000,1610341,0.028037383177569986
2020-04-09,11300,11350,10800,10950,351882,-0.004545454545454519
2020-04-10,11250,11450,10350,10700,466731,-0.022831050228310557
2020-04-13,10750,11150,10600,10700,352974,0.0
2020-04-14,10750,11100,10650,10950,295912,0.02336448598130847
2020-04-16,10900,11050,10650,11050,231997,0.009132420091324311
2020-04-17,11200,11200,10900,10950,268098,-0.009049773755656076
2020-04-20,10900,11150,10750,11150,341370,0.0182648401826484
2020-04-21,11100,11200,10000,10700,427731,-0.04035874439461884
2020-04-22,10500,11350,10500,11300,589270,0.05607476635514019
2020-04-23,11300,11900,11200,11750,1074114,0.03982300884955747
2020-04-24,11550,12700,11450,12000,2367273,0.02127659574468077
