Date,Open,High,Low,Close,Volume,Change
2018-01-05,111000,114000,93500,107500,1282241,
2018-01-08,109000,109000,99800,101000,533640,-0.06046511627906981
2018-01-09,102500,119500,101500,116000,782363,0.14851485148514842
2018-01-10,116000,121000,112000,114000,357741,-0.017241379310344862
2018-01-11,114500,118000,112000,114000,194223,0.0
2018-01-12,114000,120500,109000,118500,363991,0.03947368421052633
2018-01-15,119500,128500,119000,122000,466797,0.029535864978903037
2018-01-16,122000,122000,118000,120000,183784,-0.016393442622950838
2018-01-17,120500,120500,112000,112500,226037,-0.0625
2018-01-18,114500,115000,110500,111500,145401,-0.008888888888888835
2018-01-19,111500,115000,111000,111000,109899,-0.004484304932735439
2018-01-22,110500,111000,107500,109500,111714,-0.013513513513513487
2018-01-23,110500,113500,109000,111000,99852,0.013698630136986356
2018-01-24,111500,116000,111500,115000,135157,0.03603603603603611
2018-01-25,116000,116000,113500,115000,80543,0.0
2018-01-26,115000,116000,111500,112500,113248,-0.021739130434782594
2018-01-29,113000,113000,111000,112000,102780,-0.004444444444444473
2018-01-30,112000,117000,112000,115500,199075,0.03125
2018-01-31,114500,117000,113000,115000,144616,-0.0043290043290042934
2018-02-01,115500,116500,112000,112000,103975,-0.02608695652173909
2018-02-02,112500,113500,108000,109000,124931,-0.0267857142857143
2018-02-05,106000,107500,101500,102500,135075,-0.059633027522935755
2018-02-06,98200,103500,95900,101500,189357,-0.009756097560975618
2018-02-07,104000,104000,99100,99200,127611,-0.022660098522167438
2018-02-08,99000,101500,98200,100000,116615,0.008064516129032251
2018-02-09,97400,102000,96500,100500,110042,0.004999999999999893
2018-02-12,98800,103000,98700,103000,173351,0.02487562189054726
2018-02-13,115000,116500,105500,107000,593574,0.03883495145631066
2018-02-14,107500,109500,103000,105000,154019,-0.01869158878504673
2018-02-19,109000,111000,108000,109500,118500,0.04285714285714293
2018-02-20,109000,113000,108500,109500,108680,0.0
2018-02-21,110500,114000,109000,113000,121214,0.03196347031963476
2018-02-22,112500,113000,110500,111000,71123,-0.017699115044247815
2018-02-23,112000,113500,111500,113500,97859,0.022522522522522515
2018-02-26,113500,114000,109000,110000,152544,-0.03083700440528636
2018-02-27,110500,111500,107500,109000,90543,-0.009090909090909038
2018-02-28,108000,110000,107500,109000,72980,0.0
2018-03-02,107000,108000,105500,106500,83506,-0.022935779816513735
2018-03-05,106000,107000,104000,104500,78837,-0.018779342723004744
2018-03-06,106000,107000,104500,105000,77860,0.004784688995215225
2018-03-07,105000,107500,104500,106000,64705,0.00952380952380949
2018-03-08,107000,109500,106000,109000,76117,0.028301886792452935
2018-03-09,109000,110000,108000,109000,64150,0.0
2018-03-12,110000,110000,108500,109500,72719,0.004587155963302836
2018-03-13,109500,110500,107500,110500,76070,0.009132420091324311
2018-03-14,109500,113000,109000,113000,98613,0.02262443438914019
2018-03-15,113500,113500,110500,112000,67977,-0.008849557522123908
2018-03-16,112000,113000,110500,110500,49876,-0.013392857142857095
2018-03-19,111500,112000,110000,110500,49270,0.0
2018-03-20,109500,110000,106500,108000,60742,-0.022624434389140302
2018-03-21,109000,110000,108000,109000,35565,0.0092592592592593
2018-03-22,109500,112500,108000,110500,93634,0.013761467889908285
2018-03-23,107000,109000,105000,105000,89177,-0.04977375565610864
2018-03-26,105000,106000,102000,105000,60400,0.0
2018-03-27,105500,106500,104500,104500,81406,-0.004761904761904745
2018-03-28,103500,105000,100000,102000,89430,-0.02392344497607657
2018-03-29,102000,104500,101500,104000,44056,0.019607843137254832
