Date,Open,High,Low,Close,Volume,Change
2020-06-05,782,1016,782,1017,94145,
2020-06-08,1320,1320,1320,1321,18707,0.2989183874139627
2020-06-09,1715,1715,1715,1716,31902,0.29901589704769105
2020-06-10,2227,2227,2227,2227,284148,0.2977855477855478
2020-06-11,2832,2892,2641,2893,724730,0.29905702739110906
2020-06-12,3033,3705,2912,3214,3310580,0.11095748358105784
2020-06-15,0,0,0,3214,0,0.0
2020-06-16,3150,3605,2892,3378,1246185,0.05102675793403866
2020-06-17,3243,3337,3036,3157,284320,-0.0654233274126702
2020-06-18,3156,3187,2862,2883,363787,-0.0867912575229648
2020-06-19,2886,2962,2695,2819,209366,-0.022199098161637232
2020-06-22,2979,3658,2909,3659,430289,0.2979780063852431
2020-06-23,4314,4755,3832,4040,1752519,0.1041268106039901
2020-06-24,4213,4347,3799,4093,579430,0.01311881188118802
2020-06-25,0,0,0,4093,0,0.0
2020-06-26,3919,4013,3551,3659,251618,-0.10603469337893967
2020-06-29,3511,3571,3334,3344,149862,-0.08608909538125176
2020-06-30,3364,4046,3364,3478,395019,0.04007177033492826
2020-07-01,3538,3745,3277,3344,165772,-0.03852788959171938
2020-07-02,3411,3531,3190,3465,148963,0.03618421052631571
2020-07-03,3571,3678,3437,3511,82577,0.01327561327561333
2020-07-06,3477,3538,3350,3438,63097,-0.020791797208772445
2020-07-07,3437,3444,3320,3404,72101,-0.009889470622454932
2020-07-08,3391,3605,3273,3592,129254,0.05522914218566388
2020-07-09,3571,3678,3498,3578,75099,-0.0038975501113586164
2020-07-10,3518,3584,3391,3411,57584,-0.046674119619899423
2020-07-13,3411,3444,3344,3418,40136,0.0020521841102316696
2020-07-14,3498,3792,3491,3538,189614,0.03510825043885313
2020-07-15,3611,3631,3477,3605,65119,0.0189372526851328
2020-07-16,3611,3665,3544,3598,46896,-0.001941747572815511
2020-07-17,3598,3671,3477,3531,44979,-0.01862145636464707
2020-07-20,3531,3551,3444,3478,51423,-0.01500991220617387
2020-07-21,3477,3558,3417,3505,49307,0.007763082231167395
2020-07-22,3538,3765,3464,3705,139723,0.05706134094151216
2020-07-23,3685,3852,3578,3839,110583,0.03616734143049927
2020-07-24,3778,3852,3691,3812,97763,-0.007033081531648833
2020-07-27,3832,4407,3745,3933,358288,0.031741867785939126
2020-07-28,3939,4033,3838,3846,76761,-0.02212051868802445
2020-07-29,3812,3819,3658,3685,72749,-0.04186167446697864
2020-07-30,3725,3725,3605,3632,42137,-0.014382632293080011
2020-07-31,3591,3605,3491,3511,65237,-0.033314977973568305
2020-08-03,3491,3551,3477,3485,31183,-0.0074052976360011735
2020-08-04,3524,3685,3484,3679,50848,0.05566714490674318
2020-08-05,3625,3772,3618,3719,43542,0.010872519706441874
2020-08-06,3812,3939,3745,3832,82371,0.030384511965582117
2020-08-07,3872,3872,3645,3699,41885,-0.03470772442588721
2020-08-10,3618,3732,3598,3638,56650,-0.01649094349824276
2020-08-11,3685,4193,3678,3859,391661,0.06074766355140193
2020-08-12,3885,3919,3705,3913,77478,0.01399326250323929
2020-08-13,3932,4173,3852,4080,137283,0.04267825198057751
2020-08-14,4079,4099,3805,3853,92204,-0.05563725490196081
2020-08-18,3912,3912,3504,3525,101558,-0.0851284713210485
2020-08-19,3531,3678,3471,3585,54577,0.017021276595744705
2020-08-20,3538,3578,3334,3391,64324,-0.05411436541143655
2020-08-21,3391,3531,3337,3445,32373,0.01592450604541429
2020-08-24,3444,3544,3350,3518,38790,0.021190130624092918
2020-08-25,3518,3578,3477,3572,23352,0.015349630471859
2020-08-26,3538,3564,3397,3445,45247,-0.03555431131019038
2020-08-27,3464,3511,3364,3364,43672,-0.023512336719883842
2020-08-28,3377,3444,3364,3371,25662,0.002080856123662267
2020-08-31,3377,3484,3377,3384,23312,0.0038564224265795755
2020-09-01,3384,3437,3370,3391,21625,0.002068557919621794
2020-09-02,3397,3538,3390,3511,43060,0.03538779121203195
2020-09-03,3558,3605,3417,3578,58062,0.019082882369695353
2020-09-04,3431,3591,3411,3572,54232,-0.001676914477361624
2020-09-07,3605,3718,3504,3692,66250,0.03359462486002229
2020-09-08,3738,3858,3685,3826,84390,0.03629469122426876
2020-09-09,3745,3792,3618,3732,58473,-0.02456874019864086
2020-09-10,3799,3912,3745,3859,70618,0.03403001071811351
2020-09-11,3839,3926,3685,3899,54861,0.010365379632029104
2020-09-14,4013,4347,4013,4321,388949,0.10823288022569888
2020-09-15,4347,4514,4133,4448,189866,0.02939134459615822
2020-09-16,4421,4494,4287,4374,105066,-0.016636690647481966
2020-09-17,4380,4715,4314,4388,186341,0.0032007315957933713
2020-09-18,4334,4621,4227,4541,123487,0.03486782133090238
2020-09-21,4675,4708,4507,4541,82208,0.0
2020-09-22,4501,4668,4380,4381,63123,-0.03523452983924247
2020-09-23,4474,4487,4206,4327,74527,-0.012325952978771926
2020-09-24,4267,4267,4019,4080,73963,-0.05708342962791768
2020-09-25,4140,4213,4066,4087,40247,0.0017156862745097978
2020-09-28,4093,4220,4093,4180,27703,0.02275507707364821
2020-09-29,4186,4233,4073,4127,33377,-0.012679425837320624
2020-10-05,4133,4146,3966,4093,25833,-0.008238429852192919
2020-10-06,4086,4113,3979,4046,24646,-0.011483019789885196
2020-10-07,3999,4073,3999,4040,13985,-0.0014829461196242955
2020-10-08,4059,4073,3959,4000,27152,-0.00990099009900991
2020-10-12,4146,4280,3932,3946,65097,-0.013499999999999956
2020-10-13,3946,3966,3832,3853,39687,-0.023568170299037017
2020-10-14,3858,4019,3785,3879,34805,0.006747988580326991
2020-10-15,4039,4193,3959,4073,115630,0.05001288992008246
2020-10-16,4133,4146,3885,3980,52492,-0.022833292413454442
2020-10-19,3992,4046,3946,4046,26079,0.016582914572864427
2020-10-20,4033,4059,3959,4046,24112,0.0
2020-10-21,4046,4180,4032,4133,34309,0.021502718734552673
2020-10-22,4146,4146,4039,4073,24749,-0.014517299782240478
2020-10-23,4086,4140,4019,4060,15117,-0.003191750552418382
2020-10-26,4059,4059,3852,3853,38266,-0.050985221674876846
2020-10-27,3872,3952,3725,3812,35231,-0.010641058915131119
2020-10-28,4956,4956,4320,4642,1613669,0.21773347324239234
2020-10-29,4514,5685,4454,5344,1457579,0.15122791900043087
2020-10-30,5404,5551,5136,5150,363483,-0.036302395209580784
2020-11-02,5237,5471,5150,5398,210941,0.048155339805825204
2020-11-03,5424,5524,5337,5431,194662,0.0061133753241942035
2020-11-04,5558,6848,5430,6354,1408538,0.16995028539863744
2020-11-05,6360,7317,6253,6963,908189,0.09584513692162422
