Date,Open,High,Low,Close,Volume,Change
2019-12-19,2005,2005,2000,2005,730576,
2019-12-20,2000,2010,2000,2010,118233,0.0024937655860348684
2019-12-23,2005,2005,2000,2000,46709,-0.00497512437810943
2019-12-24,2005,2005,2000,2000,2144,0.0
2019-12-26,2000,2005,2000,2005,44074,0.0024999999999999467
2019-12-27,2005,2005,2000,2005,26112,0.0
2019-12-30,2005,2005,2000,2000,15387,-0.0024937655860348684
2020-01-02,2000,2005,2000,2005,14730,0.0024999999999999467
2020-01-03,2000,2005,1995,2000,29113,-0.0024937655860348684
2020-01-06,2005,2005,2000,2005,16103,0.0024999999999999467
2020-01-07,2005,2005,2000,2005,14860,0.0
2020-01-08,2005,2005,2000,2005,9032,0.0
2020-01-09,2005,2005,2005,2005,10000,0.0
2020-01-10,2000,2005,2000,2000,47679,-0.0024937655860348684
2020-01-13,2005,2010,2005,2010,7011,0.004999999999999893
2020-01-14,2000,2010,2000,2010,10695,0.0
2020-01-15,2010,2010,2010,2010,0,0.0
2020-01-16,2005,2010,2005,2010,361,0.0
2020-01-17,2005,2010,2005,2005,7504,-0.0024875621890547706
2020-01-20,2000,2010,2000,2005,7003,0.0
2020-01-21,2010,2010,2005,2010,33010,0.0024937655860348684
2020-01-22,2005,2010,2005,2010,11,0.0
2020-01-23,2005,2010,2000,2010,3526,0.0
2020-01-28,2005,2010,2000,2005,1583,-0.0024875621890547706
2020-01-29,2005,2005,2005,2005,5100,0.0
2020-01-30,2000,2005,2000,2005,449,0.0
2020-01-31,2005,2005,2005,2005,21500,0.0
2020-02-03,2005,2005,2000,2005,15011,0.0
2020-02-04,2005,2005,2005,2005,0,0.0
2020-02-05,2000,2005,2000,2005,14262,0.0
2020-02-06,2005,2010,2000,2010,23000,0.0024937655860348684
2020-02-07,2005,2010,2005,2010,3002,0.0
2020-02-10,2005,2010,2005,2010,1499,0.0
2020-02-11,2005,2010,2005,2010,22,0.0
2020-02-12,2010,2010,2010,2010,0,0.0
2020-02-13,2010,2010,2005,2010,10011,0.0
2020-02-14,2005,2010,2005,2005,79423,-0.0024875621890547706
2020-02-17,2010,2010,2010,2010,156241,0.0024937655860348684
2020-02-18,2010,2010,2010,2010,39743,0.0
2020-02-19,2010,2015,2005,2010,76874,0.0
2020-02-20,2010,2015,2010,2010,13002,0.0
2020-02-21,2010,2015,2005,2005,40884,-0.0024875621890547706
2020-02-24,2010,2010,2010,2010,2,0.0024937655860348684
2020-02-25,2005,2015,2005,2010,48738,0.0
2020-02-26,2000,2010,2000,2010,52,0.0
2020-02-27,2005,2010,2005,2010,10504,0.0
2020-02-28,2015,2015,2005,2010,39938,0.0
2020-03-02,2020,2020,2005,2015,9614,0.0024875621890547706
2020-03-03,2010,2015,2000,2015,21413,0.0
2020-03-04,2010,2015,2010,2015,5050,0.0
2020-03-05,2010,2015,2010,2015,2002,0.0
2020-03-06,2005,2015,2005,2015,15,0.0
2020-03-09,2010,2015,2010,2015,10011,0.0
2020-03-10,2010,2010,2010,2010,11,-0.002481389578163795
2020-03-11,2015,2015,2005,2010,20014,0.0
2020-03-12,2000,2010,2000,2010,6469,0.0
2020-03-13,2000,2010,1990,2010,9101,0.0
2020-03-16,2010,2010,2010,2010,0,0.0
2020-03-17,2000,2005,2000,2005,15400,-0.0024875621890547706
2020-03-18,2010,2010,2000,2000,11004,-0.0024937655860348684
2020-03-19,1995,2000,1970,1995,29903,-0.0024999999999999467
2020-03-20,2000,2000,1995,1995,551,0.0
2020-03-23,1980,1995,1980,1995,27,0.0
2020-03-24,1995,1995,1995,1995,0,0.0
2020-03-25,2000,2000,1985,1995,11003,0.0
2020-03-26,2000,2000,1995,1995,35002,0.0
2020-03-27,1995,1995,1990,1995,10135,0.0
