Date,Open,High,Low,Close,Volume,Change
2020-05-21,10250,12000,9630,9930,8241851,
2020-05-22,10000,10350,9850,9900,2129651,-0.0030211480362537513
2020-05-25,9980,10150,9620,9690,1376646,-0.021212121212121238
2020-05-26,9700,9730,9270,9350,1523584,-0.03508771929824561
2020-05-27,9410,9840,9400,9540,1641952,0.02032085561497321
2020-05-28,9650,9980,9410,9540,1969192,0.0
2020-05-29,9550,9550,9200,9260,1182930,-0.02935010482180289
2020-06-01,9260,9360,9000,9050,1559738,-0.022678185745140356
2020-06-02,9090,9350,9050,9290,1434939,0.026519337016574607
2020-06-03,9310,9500,9190,9400,1101136,0.011840688912809538
2020-06-04,9480,9630,9350,9550,1263462,0.015957446808510634
2020-06-05,9560,9650,9490,9540,637991,-0.0010471204188481353
2020-06-08,9650,9650,9350,9420,781171,-0.012578616352201255
2020-06-09,9430,9450,9170,9300,828135,-0.01273885350318471
2020-06-10,9270,9270,9090,9100,664366,-0.021505376344086002
2020-06-11,9100,9350,9040,9070,1074578,-0.003296703296703285
2020-06-12,8750,8790,8550,8700,969667,-0.040793825799338435
2020-06-15,8720,8770,7800,7800,1221034,-0.10344827586206895
2020-06-16,7950,8100,7910,8080,825919,0.03589743589743599
2020-06-17,7990,8070,7800,7870,733029,-0.025990099009901013
2020-06-18,7850,8340,7830,8310,957213,0.055908513341804245
2020-06-19,8450,8540,8250,8250,599341,-0.0072202166064981865
2020-06-22,8230,8240,7990,8010,539798,-0.029090909090909056
2020-06-23,8100,8250,8020,8130,500153,0.014981273408239737
2020-06-24,8200,8290,8070,8100,495813,-0.0036900369003689537
2020-06-25,8010,8070,7950,7970,522369,-0.016049382716049387
2020-06-26,8050,8050,7900,7950,470727,-0.0025094102885822034
2020-06-29,7870,7930,7720,7750,447804,-0.02515723270440251
2020-06-30,7830,7870,7750,7760,434730,0.001290322580645098
2020-07-01,7800,8120,7780,7920,399320,0.020618556701030855
2020-07-02,8050,8120,7910,7980,405653,0.007575757575757569
2020-07-03,7980,8150,7850,7890,369974,-0.011278195488721776
2020-07-06,7920,8150,7780,8150,378116,0.032953105196451116
2020-07-07,8200,8720,8140,8700,1781903,0.06748466257668717
2020-07-08,8720,8730,8410,8550,648301,-0.017241379310344862
2020-07-09,8620,9120,8620,8870,1684205,0.037426900584795364
2020-07-10,8830,8860,8520,8680,780741,-0.021420518602029315
2020-07-13,8750,8770,8440,8500,466713,-0.020737327188940058
2020-07-14,8480,9290,8380,9150,2049187,0.07647058823529407
2020-07-15,9800,11850,9800,11850,28195443,0.29508196721311486
2020-07-16,11600,12000,10950,11650,13478576,-0.016877637130801704
2020-07-17,11750,12900,11750,12250,19101901,0.05150214592274671
2020-07-20,12250,12400,11800,12300,4196840,0.004081632653061273
2020-07-21,12350,12450,11700,11700,3478389,-0.04878048780487809
2020-07-22,11700,13300,11450,12600,15331728,0.07692307692307687
2020-07-23,12700,13250,12400,12950,5622519,0.02777777777777768
2020-07-24,12700,12950,12100,12350,3463173,-0.04633204633204635
2020-07-27,12200,12900,12100,12700,3058339,0.028340080971659853
2020-07-28,12750,14000,12600,13600,16105680,0.07086614173228356
2020-07-29,13650,13800,13100,13350,3439374,-0.018382352941176516
2020-07-30,14100,14900,13700,13800,10997827,0.03370786516853941
2020-07-31,14000,14450,13550,14000,3647939,0.01449275362318847
2020-08-03,14100,14150,13450,13550,2319715,-0.03214285714285714
2020-08-04,13550,13550,12850,13200,2214912,-0.02583025830258301
2020-08-05,13150,13150,12550,12800,2141719,-0.030303030303030276
2020-08-06,12850,13200,12650,12850,2205706,0.00390625
2020-08-07,12900,13050,12150,12400,2082930,-0.035019455252918275
2020-08-10,12400,12700,12200,12450,1665935,0.0040322580645162365
2020-08-11,12650,13650,12650,13250,5945603,0.06425702811244971
2020-08-12,13150,13500,12650,13200,2254318,-0.0037735849056603765
2020-08-13,13350,13600,13050,13050,1649403,-0.011363636363636354
2020-08-14,13050,13100,12250,12400,1514875,-0.04980842911877392
2020-08-18,12200,12200,10850,10900,2421267,-0.12096774193548387
2020-08-19,11000,11400,10600,10900,1761748,0.0
2020-08-20,11000,11250,10150,10300,1874257,-0.05504587155963303
2020-08-21,10450,10950,10250,10700,1332850,0.03883495145631066
2020-08-24,10600,11100,10350,11000,1055869,0.028037383177569986
2020-08-25,11050,11800,11050,11700,1451908,0.06363636363636371
2020-08-26,11850,11850,11300,11600,943854,-0.008547008547008517
2020-08-27,11600,11600,11000,11050,854811,-0.04741379310344829
2020-08-28,11150,11400,10850,10900,791435,-0.013574660633484115
2020-08-31,11050,11300,10800,10950,726353,0.004587155963302836
2020-09-01,11250,11350,10900,11000,877085,0.004566210045662045
2020-09-02,11150,11950,11100,11600,2635941,0.05454545454545445
2020-09-03,11650,12000,11600,11700,1495120,0.008620689655172376
2020-09-04,11000,11450,10950,11300,1371135,-0.03418803418803418
2020-09-07,11350,11900,11300,11850,1533722,0.04867256637168138
2020-09-08,12100,12500,11700,11750,1643978,-0.008438818565400852
2020-09-09,11400,11950,11300,11850,937049,0.008510638297872353
2020-09-10,12150,12350,11700,12050,1147360,0.016877637130801704
2020-09-11,12000,12350,11900,12350,1382572,0.024896265560165887
2020-09-14,12700,12950,12450,12700,2136581,0.028340080971659853
2020-09-15,12750,12800,12250,12300,1128736,-0.03149606299212604
2020-09-16,12350,12350,11800,11900,1013241,-0.03252032520325199
2020-09-17,11750,11850,11500,11600,779304,-0.025210084033613467
2020-09-18,11600,11750,11300,11550,626485,-0.004310344827586188
2020-09-21,11600,11650,11000,11100,825545,-0.038961038961038974
2020-09-22,10900,10950,10400,10700,1340670,-0.036036036036036
2020-09-23,10850,11150,10400,10850,897876,0.014018691588784993
2020-09-24,10450,10550,10100,10200,915878,-0.05990783410138245
2020-09-25,10300,10400,10050,10250,536762,0.004901960784313708
2020-09-28,10400,10800,10300,10700,447267,0.04390243902439028
2020-09-29,10800,10950,10600,10650,425523,-0.004672897196261627
2020-10-05,10700,10800,10550,10700,468566,0.0046948356807512415
2020-10-06,10900,11000,10550,10700,623129,0.0
2020-10-07,10550,10700,10500,10650,578814,-0.004672897196261627
2020-10-08,10950,11000,10650,10750,817697,0.009389671361502261
2020-10-12,10950,11150,10800,11000,700537,0.023255813953488413
2020-10-13,11000,11100,10900,11050,421526,0.00454545454545463
2020-10-14,11000,11000,10750,10750,419652,-0.02714932126696834
2020-10-15,10700,10800,10350,10550,559877,-0.018604651162790753
2020-10-16,10550,10650,10200,10350,394463,-0.018957345971563955
2020-10-19,10400,10450,10150,10200,323249,-0.01449275362318836
2020-10-20,10150,10400,10100,10400,369454,0.019607843137254832
2020-10-21,10450,10500,10300,10500,253083,0.009615384615384581
2020-10-22,10450,10850,10350,10500,530944,0.0
2020-10-23,10600,10850,10500,10550,405749,0.004761904761904745
2020-10-26,10600,10600,10000,10000,484541,-0.05213270142180093
2020-10-27,9850,10150,9790,9970,406077,-0.0030000000000000027
2020-10-28,9970,10200,9970,10150,270608,0.01805416248746239
2020-10-29,9940,10100,9910,10100,285494,-0.0049261083743842304
2020-10-30,10050,10100,9900,9910,340166,-0.01881188118811883
2020-11-02,9980,10000,9870,9920,348936,0.0010090817356205317
2020-11-03,9950,10100,9950,10000,408687,0.008064516129032251
2020-11-04,10150,10800,9990,10650,1346050,0.06499999999999995
2020-11-05,10850,10950,10550,10800,694921,0.014084507042253502
2020-11-06,12200,12300,11550,11700,4318957,0.08333333333333326
2020-11-09,11750,11800,11150,11250,2019564,-0.038461538461538436
2020-11-10,11600,11850,11250,11450,2355274,0.01777777777777767
2020-11-11,11500,11650,10850,11000,1701098,-0.0393013100436681
2020-11-12,11000,11100,10650,10750,904389,-0.022727272727272707
2020-11-13,10650,10900,10550,10900,555039,0.013953488372093092
2020-11-16,10950,11250,10900,11250,799833,0.032110091743119185
2020-11-17,11200,11200,10750,10900,1024063,-0.03111111111111109
2020-11-18,10850,11000,10700,10750,607352,-0.013761467889908285
2020-11-19,10700,10750,10350,10500,998665,-0.023255813953488413
2020-11-20,10400,10500,10300,10450,861389,-0.004761904761904745
2020-11-23,10500,10600,10300,10500,716947,0.004784688995215225
2020-11-24,10550,10750,10500,10650,766000,0.014285714285714235
2020-11-25,10800,10900,10450,10600,943644,-0.0046948356807511304
2020-11-26,10600,10600,10400,10500,494348,-0.009433962264150941
2020-11-27,10500,10550,10350,10550,433524,0.004761904761904745
2020-11-30,10650,10700,10550,10600,501547,0.004739336492890933
2020-12-01,10650,10850,10600,10750,718774,0.014150943396226356
2020-12-02,10650,10750,10550,10650,642178,-0.009302325581395321
2020-12-03,10700,10750,10500,10550,512788,-0.009389671361502372
2020-12-04,10600,10600,10450,10500,543009,-0.004739336492891044
2020-12-07,10500,10550,10300,10400,479662,-0.00952380952380949
2020-12-08,10450,10450,10300,10300,521325,-0.009615384615384581
2020-12-09,10350,10550,10300,10500,518705,0.01941747572815533
2020-12-10,10400,10500,10350,10400,456517,-0.00952380952380949
2020-12-11,10500,10650,10450,10500,628737,0.009615384615384581
2020-12-14,10550,10800,10550,10700,765366,0.01904761904761898
2020-12-15,10800,11400,10600,11300,3260412,0.05607476635514019
2020-12-16,11450,11500,11050,11150,1113557,-0.013274336283185861
2020-12-17,11100,11600,11050,11450,1839503,0.026905829596412634
2020-12-18,11600,11850,11300,11500,1762580,0.004366812227074135
2020-12-21,11600,12000,11200,11650,2035556,0.01304347826086949
2020-12-22,11650,11800,11050,11100,1368740,-0.047210300429184504
2020-12-23,11200,11350,10900,11250,1108421,0.013513513513513598
2020-12-24,11350,11500,11250,11400,900707,0.01333333333333342
2020-12-28,12400,13000,11800,11850,14705683,0.03947368421052633
2020-12-29,12000,12400,11900,12300,2651464,0.03797468354430378
2020-12-30,12300,13000,12050,12600,5229692,0.024390243902439046
